"E00","E00000000","特になし"
"E01","E01010001","ショップIDが指定されていません。"
"E01","E01010008","ショップIDに半角英数字以外の文字が含まれているか、13文字を超えています。"
"E01","E01010010","ショップIDが一致しません。"
"E01","E01020001","ショップパスワードが指定されていません。"
"E01","E01020008","ショップパスワードに半角英数字以外の文字が含まれているか、10文字を超えています。"
"E01","E01030002","指定されたIDとパスワードのショップが存在しません。"
"E01","E01040001","オーダーIDが指定されていません。"
"E01","E01040003","オーダーIDが最大文字数を超えています。"
"E01","E01040010","既にオーダーIDが存在しています。"
"E01","E01040013","オーダーIDに半角英数字と”－”以外の文字が含まれています。"
"E01","E01050001","処理区分が指定されていません。"
"E01","E01050002","指定された処理区分は定義されていません。"
"E01","E01050004","指定した処理区分の処理は実行出来ません。"
"E01","E01060001","利用金額が指定されていません。"
"E01","E01060005","利用金額が最大桁数を超えています。"
"E01","E01060006","利用金額に数字以外の文字が含まれています。"
"E01","E01060010","取引の利用金額と指定した利用金額が一致していません。"
"E01","E01070005","税送料が最大桁数を超えています。"
"E01","E01070006","税送料に数字以外の文字が含まれています。"
"E01","E01080007","3Dセキュア使用フラグに0,1以外の値が指定されています。"
"E01","E01080010","管理画面の設定と一致しません。"
"E01","E01080101","3D必須店舗にも関わらず3Dセキュア使用フラグがOFFになっています。"
"E01","E01090001","取引IDが指定されていません。"
"E01","E01090008","取引IDの書式が正しくありません。"
"E01","E01100001","取引パスワードが指定されていません。"
"E01","E01100008","取引パスワードの書式が正しくありません。"
"E01","E01160001","ボーナス分割回数が指定されていません。"
"E01","E01110002","指定されたIDとパスワードの取引が存在しません。"
"E01","E01160007","ボーナス分割回数に数字以外の文字が含まれています。"
"E01","E01110010","指定された取引は決済が完了していません。"
"E01","E01130012","カード会社略称が最大バイト数を超えています。"
"E01","E01160010","ボーナス分割回数に“２”以外を指定しています。"
"E01","E01170001","カード番号が指定されていません。"
"E01","E01170003","カード番号が最大文字数を超えています。"
"E01","E01170006","カード番号に数字以外の文字が含まれています。"
"E01","E01170011","カード番号が10桁～16桁の範囲ではありません。"
"E01","E01180001","有効期限が指定されていません。"
"E01","E01180003","有効期限が4桁ではありません。"
"E01","E01180006","有効期限に数字以外の文字が含まれています。"
"E01","E01180008","有効期限の書式が正しくありません。"
"E01","E01190001","サイトIDが指定されていません。"
"E01","E01190008","サイトIDの書式が正しくありません。"
"E01","E01200001","サイトパスワードが指定されていません。"
"E01","E01200008","サイトパスワードの書式が正しくありません。"
"E01","E01210002","指定されたIDとパスワードのサイトが存在しません。"
"E01","E01220001","会員IDが指定されていません。"
"E01","E01220005","会員IDが最大桁数を超えています。"
"E01","E01220008","会員IDの書式が正しくありません。"
"E01","E01230006","カード登録連番に数字以外の文字が含まれています。"
"E01","E01230009","カード登録連番が最大登録可能数を超えています。"
"E01","E01240002","指定されたカードが存在しません。"
"E01","E01240012","指定された会員IDがファイル内で重複しています(※洗替時)"
"E01","E01250008","カードパスワードの書式が正しくありません。"
"E01","E01250010","カードパスワードが一致しません。"
"E01","E01260001","支払方法が指定されていません。"
"E01","E01260002","指定された支払方法が存在しません。"
"E01","E01260010","指定されたカード番号または支払方法が正しくありません。"
"E01","E01270001","支払回数が指定されていません。"
"E01","E01270005","支払回数が最大桁数を超えています。"
"E01","E01270006","支払回数の数字以外の文字が含まれています。"
"E01","E01270010","指定された支払回数はご利用できません。"
"E01","E01290001","HTTP_ACCEPTが指定されていません。"
"E01","E01300001","HTTP_USER_AGENTが指定されていません。"
"E01","E01310002","使用端末が指定されていません。"
"E01","E01310007","使用端末に”0”,”1”以外の値が指定されています。"
"E01","E01320012","加盟店自由項目1の値が最大バイト数を超えています。"
"E01","E01330012","加盟店自由項目2の値が最大バイト数を超えています。"
"E01","E01340012","加盟店自由項目3の値が最大バイト数を超えています。"
"E01","E01350001","MDが指定されていません。"
"E01","E01350008","MDの書式が正しくありません。"
"E01","E01360001","PaResが指定されていません。"
"E01","E01370008","3Dセキュア表示店舗名の書式が正しくありません。"
"E01","E01370012","3Dセキュア表示店舗名の値が最大バイト数を超えています。"
"E01","E01390002","指定されたサイトIDと会員IDの会員が存在しません。"
"E01","E01390010","指定されたサイトIDと会員IDの会員が既に存在しています。"
"E01","E01400007","加盟店自由項目返却フラグに”0”,”1”以外の値が指定されています。"
"E01","E01410010","該当取引は操作禁止状態です。"
"E01","E01420010","仮売上有効期間を超えています。"
"E01","E01430012","会員名の値が最大バイト数を超えています。"
"E01","E01440008","洗替・継続課金フラグの書式が正しくありません。"
"E01","E01450008","商品コードの書式が正しくありません。"
"E01","E01460008","セキュリティコードの書式が正しくありません。"
"E01","E01470008","カード登録連番モードの書式が正しくありません。"
"E01","E01480008","名義人の書式が正しくありません。"
"E01","E01490005","利用金額・税送料の合計値が最大桁数を超えています。"
"E01","E01500001","ショップ情報文字列が設定されていません。"
"E01","E01500005","ショップ情報文字列の文字数が間違っています。"
"E01","E01500012","ショップ情報文字列が他の項目と矛盾しています。"
"E01","E01510001","購買情報文字列が設定されていません。"
"E01","E01510005","購買情報文字列の文字数が間違っています。"
"E01","E01510010","利用日の書式が正しくありません。"
"E01","E01510011","利用日の値が指定可能範囲外です。"
"E01","E01510012","購買情報文字列が他の項目と矛盾しています。"
"E01","E01520002","ユーザー利用端末情報に無効な値が設定されています。"
"E01","E01530001","決済結果戻り先URLが設定されていません。"
"E01","E01530005","決済結果戻り先URLが最大文字数を越えています。"
"E01","E01540005","決済キャンセル時URLが最大文字数を超えています。"
"E01","E01550001","日時情報文字列が設定されていません。"
"E01","E01550005","日時情報文字列の文字数が間違っています。"
"E01","E01550006","日時情報文字列に無効な文字が含まれます。"
"E01","E01590005","商品コードが最大桁数を超えています。"
"E01","E01590006","商品コードに無効な文字が含まれます。"
"E01","E01600001","会員情報チェック文字列が設定されていません。"
"E01","E01600005","会員情報チェック文字列が最大文字数を超えています。"
"E01","E01600012","会員情報チェック文字列が他の項目と矛盾しています。"
"E01","E01610005","リトライ回数が0～99の範囲外です。"
"E01","E01610006","リトライ回数に数字以外が設定されています。"
"E01","E01620005","セッションタイムアウト値が0～9999の範囲外です。"
"E01","E01620006","セッションタイムアウト値に数字以外が設定されています。"
"E01","E01630010","取引後カード登録時、取引の会員IDとパラメータの会員IDが一致しません。"
"E01","E01640010","取引後カード登録時、取引のサイトIDとパラメータのサイトIDが一致しません。"
"E01","E01650012","指定されたショップは、指定されたサイトに属していません。"
"E01","E01660013","言語パラメータにサポートされない値が設定されています。"
"E01","E01670013","出力エンコーディングにサポートされない値が設定されています。"
"E01","E01700001","項目数が誤っています。"
"E01","E01710001","取引区分(継続課金)が設定されていません。"
"E01","E01710002","指定された取引区分が存在しません。"
"E01","E01730001","ボーナス金額が指定されていません。"
"E01","E01730005","ボーナス金額が最大桁数を超えています。"
"E01","E01730006","商品コードが”0000990”ではありません。"
"E01","E01730007","ボーナス金額に数字以外の文字が含まれています。"
"E01","E01740001","端末処理通番が指定されていません。"
"E01","E01740005","端末処理通番が最大桁数を超えています。"
"E01","E01740007","端末処理通番に数字以外の文字が含まれています。"
"E01","E01750001","利用日が指定されていません。"
"E01","E01750008","利用日の書式が正しくありません。"
"E01","E01800001","暗証番号が未入力です。"
"E01","E01800008","暗証番号の書式が正しくありません。"
"E01","E01800010","暗証番号は利用できません。"
"E11","E11010001","この取引は既に決済が終了しています。"
"E11","E11010002","この取引は決済が終了していませんので、変更する事が出来ません。"
"E11","E11010003","この取引は指定処理区分処理を行う事が出来ません。"
"E11","E11010010","180日超えの取引のため、処理を行う事が出来ません。"
"E11","E11010011","180日超えの取引のため、処理を行う事が出来ません。"
"E11","E11010012","180日超えの取引のため、処理を行う事が出来ません。"
"E11","E11010013","180日超えの取引のため、処理を行う事が出来ません。"
"E11","E11010014","180日超えの取引のため、処理を行う事が出来ません。"
"E11","E11010099","このカードはご利用になれません。"
"E11","E11010999","既に取引が完了している可能性があります。"
"E11","E11310001","この取引はリンク決済を実行できません。"
"E11","E11310002","この取引はリンク決済を実行できません。"
"E11","E11310003","この取引はリンク決済を実行できません。"
"E11","E11310004","この取引はリンク決済を実行できません。"
"E11","E11310005","既にカードを登録している会員は、取引後カード登録を実行できません。"
"E21","E21010001","3Dセキュア認証に失敗しました。もう一度、購入画面からやり直して下さい。"
"E21","E21010007","3Dセキュア認証に失敗しました。もう一度、購入画面からやり直して下さい。"
"E21","E21010999","3Dセキュア認証に失敗しました。もう一度、購入画面からやり直して下さい。"
"E21","E21020001","3Dセキュア認証に失敗しました。もう一度、購入画面からやり直して下さい。"
"E21","E21020002","3Dセキュア認証がキャンセルされました。もう一度、購入画面からやり直して下さい。"
"E21","E21020007","3Dセキュア認証に失敗しました。もう一度、購入画面からやり直して下さい。"
"E21","E21020999","3Dセキュア認証に失敗しました。もう一度、購入画面からやり直して下さい。"
"E21","E21010201","このカードでは取引をする事が出来ません。3Dセキュア認証に対応したカードをお使い下さい。"
"E21","E21010202","このカードでは取引をする事が出来ません。3Dセキュア認証に対応したカードをお使い下さい。"
"E31","E31500014","－"
"E41","E41170002","入力されたカード会社に対応していません。別のカード番号を入力して下さい。"
"E41","E41170099","カード番号に誤りがあります。再度確認して入力して下さい。"
"E61","E61010001","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"E61","E61010002","ご利用出来ないカードをご利用になったもしくはカード番号が誤っております。"
"E61","E61010003","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"E61","E61020001","指定の決済方法は利用停止になっています。"
"E61","E61030001","ご契約内容エラー/現在のご契約では、ご利用になれません。"
"E82","E82010001","実行中にエラーが発生しました。処理は開始されませんでした。"
"E90","E90010001","現在処理を行っているのでもうしばらくお待ち下さい。"
"E91","E91099996","システムの内部エラーです。発生時刻や呼び出しパラメータをご確認のうえ、お問い合わせください。"
"E91","E91099997","リクエストされたAPIは存在しません。URLをお確かめください。"
"E91","E91019999","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"E91","E91020001","通信タイムアウトが発生しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"E91","E91029998","決済処理に失敗しました。該当のお取引について、店舗までお問合せください。"
"E91","E91029999","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"E91","E91050001","決済処理に失敗しました。"
"E91","E91060001","システムの内部エラーです。発生時刻や呼び出しパラメータをご確認のうえ、お問い合わせください。"
"E91","E91099999","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"E92","E92000001","只今、大変込み合っていますので、しばらく時間をあけて再度決済を行ってください。"
"C01","42C010000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C03","42C030000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C12","42C120000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C13","42C130000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C14","42C140000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C15","42C150000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C50","42C500000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C51","42C510000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C53","42C530000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C54","42C540000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C55","42C550000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C56","42C560000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C57","42C570000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C58","42C580000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C60","42C600000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C70","42C700000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C71","42C710000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C72","42C720000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C73","42C730000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C74","42C740000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C75","42C750000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C76","42C760000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C77","42C770000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"C78","42C780000","決済処理に失敗しました。申し訳ございませんが、しばらく時間をあけて購入画面からやり直してください。"
"G02","42G020000","カード残高が不足しているために、決済を完了する事が出来ませんでした。"
"G03","42G030000","カード限度額を超えているために、決済を完了する事が出来ませんでした。"
"G04","42G040000","カード残高が不足しているために、決済を完了する事が出来ませんでした。"
"G05","42G050000","カード限度額を超えているために、決済を完了する事が出来ませんでした。"
"G12","42G120000","このカードでは取引をする事が出来ません。"
"G22","42G220000","このカードでは取引をする事が出来ません。"
"G30","42G300000","このカードでは取引をする事が出来ません。"
"G42","42G420000","暗証番号が誤っていた為に、決済を完了する事が出来ませんでした。"
"G44","42G440000","セキュリティーコードが誤っていた為に、決済を完了する事が出来ませんでした。"
"G45","42G450000","セキュリティーコードが入力されていない為に、決済を完了する事が出来ませんでした。"
"G54","42G540000","このカードでは取引をする事が出来ません。"
"G55","42G550000","カード限度額を超えているために、決済を完了する事が出来ませんでした。"
"G56","42G560000","このカードでは取引をする事が出来ません。"
"G60","42G600000","このカードでは取引をする事が出来ません。"
"G61","42G610000","このカードでは取引をする事が出来ません。"
"G65","42G650000","カード番号に誤りがあるために、決済を完了する事が出来ませんでした。"
"G67","42G670000","商品コードに誤りがあるために、決済を完了する事が出来ませんでした。"
"G68","42G680000","金額に誤りがあるために、決済を完了する事が出来ませんでした。"
"G69","42G690000","税送料に誤りがあるために、決済を完了する事が出来ませんでした。"
"G70","42G700000","ボーナス回数に誤りがあるために、決済を完了する事が出来ませんでした。"
"G71","42G710000","ボーナス月に誤りがあるために、決済を完了する事が出来ませんでした。"
"G72","42G720000","ボーナス額に誤りがあるために、決済を完了する事が出来ませんでした。"
"G73","42G730000","支払開始月に誤りがあるために、決済を完了する事が出来ませんでした。"
"G74","42G740000","分割回数に誤りがあるために、決済を完了する事が出来ませんでした。"
"G75","42G750000","分割金額に誤りがあるために、決済を完了する事が出来ませんでした。"
"G76","42G760000","初回金額に誤りがあるために、決済を完了する事が出来ませんでした。"
"G77","42G770000","業務区分に誤りがあるために、決済を完了する事が出来ませんでした。"
"G78","42G780000","支払区分に誤りがあるために、決済を完了する事が出来ませんでした。"
"G79","42G790000","照会区分に誤りがあるために、決済を完了する事が出来ませんでした。"
"G80","42G800000","取消区分に誤りがあるために、決済を完了する事が出来ませんでした。"
"G81","42G810000","取消取扱区分に誤りがあるために、決済を完了する事が出来ませんでした。"
"G83","42G830000","有効期限に誤りがあるために、決済を完了する事が出来ませんでした。"
"G92","42G920000","このカードでは取引をする事が出来ません。"
"G95","42G950000","このカードでは取引をする事が出来ません。"
"G96","42G960000","このカードでは取引をする事が出来ません。"
"G97","42G970000","このカードでは取引をする事が出来ません。"
"G98","42G980000","このカードでは取引をする事が出来ません。"
"G99","42G990000","このカードでは取引をする事が出来ません。"
